pro_id;pro_nama;dapil_id;dapil_kode;dapil_nama;URUTAN_SUARA_PARTAI;partai_id;PARTAI POLITIK;Urutan1;id;nama;nomor_urut;jenis_kelamin;tempat_tinggal;Suara;% SUARA;URUTAN SUARA;KURSI KE 1;KURSI KE 2;KURSI KE 3;KURSI KE 4;KURSI KE 5;URUTAN KURSI;TOTAL;JUMLAH KURSI;;PROVINSI;DAPIL DPRRI;;;;;;
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;2;106001;GHUFRAN;1;L;KOTA BANDA ACEH;46713;0,390638981;1;7;;;;;7;1;1;;KALIMANTAN SELATAN;KALIMANTAN SELATAN I;6;1;KALIMANTAN SELATAN;KALIMANTAN SELATAN I;6;1
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;2;106002;RAFLY KANDE;2;L;ACEH BESAR;45467;0,380219266;2;;;;;;0;0;0;;KALIMANTAN SELATAN;KALIMANTAN SELATAN II;5;1;KALIMANTAN SELATAN;KALIMANTAN SELATAN II;5;1
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;2;106005;SAID MUSTAJAB S.Sos.;5;L;KOTA BANDA ACEH;6892;0,057634574;3;;;;;;0;0;0;;KALIMANTAN TIMUR;KALIMANTAN TIMUR;8;1;KALIMANTAN TIMUR;KALIMANTAN TIMUR;8;0
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;2;106004;BUHARI SELIAN;4;L;ACEH TENGGARA;1797;0,015027471;4;;;;;;0;0;0;;KALIMANTAN UTARA;KALIMANTAN UTARA;3;1;KALIMANTAN UTARA;KALIMANTAN UTARA;3;0
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;2;106003;FRIESKA INDAH SARI S.E.;3;P;KOTA BANDA ACEH;1487;0,012435086;5;;;;;;0;0;0;;SULAWESI UTARA;SULAWESI UTARA;0;0;SULAWESI UTARA;SULAWESI UTARA;6;0
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;2;106006;Ns. SINTA NELYSA S.Kep.;6;P;ACEH BESAR;904;0,007559729;6;;;;;;0;0;0;;SULAWESI TENGAH;SULAWESI TENGAH;7;1;SULAWESI TENGAH;SULAWESI TENGAH;7;0
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;2;106007;SRI WAHYUNI;7;P;ACEH BESAR;735;0,006146461;7;;;;;;0;0;0;;SULAWESI SELATAN;SULAWESI SELATAN I;8;1;SULAWESI SELATAN;SULAWESI SELATAN I;8;0
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;3;333333;TOTAL SUARA PARTAI;;;;119581;0,072516887;;;;;;;;;1;;SULAWESI SELATAN;SULAWESI SELATAN II;9;1;SULAWESI SELATAN;SULAWESI SELATAN II;9;1
11;ACEH;5001;1101;ACEH I;9;2;PARTAI GERAKAN INDONESIA RAYA;1;999999;SUARA PARTAI;;;;10121;0,097312629;;;;;;;0;0;0;;SULAWESI SELATAN;SULAWESI SELATAN III;7;1;SULAWESI SELATAN;SULAWESI SELATAN III;7;0
11;ACEH;5001;1101;ACEH I;9;2;PARTAI GERAKAN INDONESIA RAYA;2;100961;FADHLULLAH S.E.;1;L;PIDIE;53388;0,513321475;1;;;;;;0;0;0;;SULAWESI TENGGARA;SULAWESI TENGGARA;6;1;SULAWESI TENGGARA;SULAWESI TENGGARA;6;1
